featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__	-1.65675022475383	-1.94214517393308	-1.44784066011519	0.349811482265179	4.2511978219445	0.0674143830349411	0.464239276846767	0.452049366046205	0.683816525770845	0.476664754640635	0.698647337709161
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	-1.10870386606786	-1.05237748639533	-1.15615967007333	-0.367701523792443	4.85647688494249	-0.0725283606065577	0.462239588698916	0.556578624595868	0.758908243198714	0.546165736801674	0.774935782742342
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	-0.554508264154151	-1.61751802924507	1.12534467926936	3.03312492959188	5.77989514027486	0.500266914628979	0.321614612212394	0.133846963829131	0.356442269206388	0.138534863866335	0.362636629802399
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae	-1.64832173824769	-1.92233226424216	-1.47903162899718	0.474100183931369	4.28440615999571	0.0861278401489067	0.440104175252253	0.499566441352556	0.714292300208922	0.532426413731308	0.737110649607664
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	-1.66462094311053	-1.95398549994828	-1.46410521696879	0.499080609293248	4.34198810288295	0.105450662705429	0.451822923537152	0.512604377486851	0.727144251322574	0.514313159951242	0.732240796219481
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	-1.83210425980272	-1.88608713441586	-1.78821319767335	-0.139100594221213	4.7183629231439	-0.0239728188338027	0.490885417954849	0.534117645200315	0.745807002912652	0.571631592517016	0.781578215012056
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	-1.37675606785261	-1.99121157515656	-0.903518143418776	0.971044080811786	4.39697084538996	0.186725290286413	0.394531265595047	0.416667809622186	0.644624391053692	0.41679779764103	0.646387071583303
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	-1.45944054080282	-2.10339475433229	-0.921523001686239	1.37115857498483	5.78717807652926	0.214213341565519	0.384114600635644	0.311295272342372	0.543107349225417	0.362997691485501	0.600968020970823
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	0.278709606890242	0.502657909704127	0.129508772584018	-0.553932332985005	5.47674301617016	-0.0940517256543225	0.458333339261375	0.639618120357741	0.819590035813789	0.677161939447198	0.86166982552755
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	-1.58343045807229	-1.53151433348628	-1.61732431792903	-0.0537481608271762	4.24543503170726	-0.0116974661359971	0.494148245298071	0.473185719897082	0.69171323058584	0.51425218539126	0.733097755222263
