featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	-1.56974465282865	-1.83113175919609	-1.09131594309147	0.555647698268479	4.37056935024833	0.10043676060054	0.448242191657894	0.416629342831183	0.54481840479577	0.433816061151406	0.551714357672173
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	3.78729331908096	-0.454193722091055	11.5325985071639	10.8155416171812	8.2064858499541	1.13562957459404	0.102439110130307	4.35330358646064e-05	0.000246321848313741	9.8962610472301e-06	6.8109835938073e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	-1.4146568253416	-1.65496256356066	-0.95210035588007	0.672984954139182	5.00740665410877	0.111348466370826	0.427317079060237	0.46131059916086	0.58982112499663	0.427373719949279	0.547512187596667
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	-1.44474713043253	-1.61396502345548	-1.18772145000137	0.401327442429109	4.92996304118859	0.06504929424354	0.46582031522911	0.51213629098313	0.644907016749627	0.491302698132532	0.613130276675056
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	1.57359332578581	5.59885013206789	-0.00532182713582685	-3.43925685701521	6.96937620037841	-0.49252742549797	0.288780508197512	0.0578159512939356	0.129947281096636	0.0402237264281349	0.0998629969408315
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	6.43601728422214	5.51670463265954	9.0948203535664	4.32230028934985	7.57003098644841	0.563381007108082	0.254634171976782	0.0241767156221243	0.0663417645099271	0.00819798367537466	0.0274790899783075
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae]	-1.62211400871315	-1.8739687842106	-1.20390447577	0.678145512131024	4.42195182294366	0.139499736544833	0.430664068118364	0.410708123734695	0.543431400360348	0.447796118722581	0.572254274111464
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__	-1.630521217444	-1.96559414799924	-1.1370020403522	0.663205932855369	4.50674270143948	0.135089501663072	0.426757818448403	0.440845161298755	0.570954886980226	0.413965164741207	0.538729936668187
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	5.19522577834605	6.67054477215394	-0.13122590281044	-6.49049621038112	4.86750696736841	-1.13757313094291	0.130859439484422	0.000175045569443406	0.000925583741694726	4.97726334775786e-05	0.0002865548312257
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	-1.26713227163946	-1.43939032578078	-0.972731773665121	0.465460134289057	5.10721108979282	0.0736882638402299	0.453125003758321	0.487571738312704	0.62169481869451	0.476078933949357	0.601407154498569
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	3.80404954469766	3.77715635800224	3.87951910289774	1.71532622939404	8.43254164163097	0.170876671743473	0.429268298407778	0.391975344598126	0.561631907402499	0.468476952578391	0.626674227240604
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	6.75577249951294	8.44626904388975	-0.2454270217243	-8.52475982985845	4.11187443254444	-1.87393720742085	0.0341799678490176	1.40877389960659e-06	1.15101741277802e-05	2.04231693938473e-08	1.17593302613041e-06
