Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1.negative	1.negative	1.negative	1.negative	1.negative	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1.0	236.0	420.0	841.5	2135.0	1.0	33.0	187.5	349.0	883.0	391.0	651.5	868.0	1183.0	2643.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	1.0	1.0	1.0	1.0	234.0	1.0	1.0	1.0	1.0	41.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	7.0	1955.5	3922.5	8569.0	18642.0	56.0	824.0	2063.0	2624.75	5545.0	2423.0	2783.0	2858.0	4324.0	11007.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	1.0	80.5	187.0	307.25	1836.0	1.0	1.0	1.0	3.0	156.0	3.0	6.0	103.0	298.0	616.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1.0	1.0	1.0	1.0	873.0	1.0	1.0	1.0	1.0	1128.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	1.0	252.25	538.5	1163.25	3929.0	1.0	1.0	1.0	13.75	579.0	36.0	147.0	687.0	792.0	1874.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	1.0	1.0	1.0	14.25	266.0	1.0	1.0	1.0	1.0	70.0	1.0	1.0	8.0	19.0	90.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	1.0	2.0	69.5	108.75	758.0	1.0	1.0	1.0	1.75	24.0	1.0	1.0	7.0	32.0	374.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	4.0	1729.5	3027.0	6139.25	31833.0	1.0	14.75	72.0	581.5	7395.0	969.0	1061.0	3309.0	4211.5	7174.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	1.0	17.75	60.5	182.25	507.0	1.0	1.0	1.0	1.0	102.0	1.0	18.5	38.0	73.5	121.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	1.0	1.0	24.0	293.75	1532.0	1.0	8.75	138.5	1042.5	11404.0	1.0	1.0	6.0	74.5	650.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	1.0	27.5	74.0	117.5	347.0	1.0	1.0	1.0	1.0	64.0	7.0	39.5	68.0	308.5	663.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	1.0	1178.25	3721.0	5494.75	13217.0	1.0	1.0	5.0	104.25	3802.0	334.0	1180.5	2967.0	3539.5	5335.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	1.0	138.25	369.5	906.5	10058.0	1.0	1.0	2.0	61.5	1184.0	93.0	235.0	348.0	683.5	1350.0
k__Bacteria;p__GN02;c__BD1-5;o__;f__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	59.0
