Feature.ID	AS-01	AS-02	AS-03	AS-04	AS-05	AS-06	AS-07	AS-08	AS-09	AS-10	AS-11	AS-12	AS-13	AS-14	AS-15	AS-16	AS-17	AS-18	AS-19	MI-01	MI-02	MI-03	MI-04	MI-05	MI-06	MI-07	MI-08	MI-09	MI-10	MI-11	MI-12	MI-13	MI-14	MI-15	MI-16	NE-01	NE-02	NE-03	NE-04	NE-05	NE-06	NE-07	NE-08	NE-09	NE-10	NE-11	NE-12	NE-13	NE-14	NE-15	NE-16	NE-17	NE-18	NE-19	NE-20	NE-21	NE-22	NE-23	NE-24	NE-25	NE-26	SE-01	SE-02	SE-03	SE-05	SE-06	SE-07	SE-09	SE-10	SE-11	SE-12	SE-13	SE-14	SE-16	SE-17	SE-18	SE-19
982975	0.04	0	0.47	0.12	2.48	2.82	0.23	0	0	0	0	0.03	0	0	0	0	0	0	0.08	0	0.01	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0	0.11	0.2	0.08	0	0.47	0.78	0	0.65	0.05	9.75	3.69	0	0.34	0.27	2.92	0	1.62	0.07	0.17	0.1	0.25	0.29	0.01	1.22	0.1	0.05	0	0	0	0	0.19	0	0	0	0	0	0	0	0	13
1007399	0	1.04	0	2.08	0	0.16	0.56	3.64	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	4.14	7.91	3.64	1.5	2.76	0.17	1.85	1.97	3.69	0	0.08	13.67	0.18	4.95	0	0	0.6	0.05	0	0	2.87	0.4	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
413628	0	0	0	0	0	0.41	0.27	0	0	0	0	0	0	0	0	0	0.63	0.9	0	0.28	0.76	0	0	0.48	0.33	0	0	0	1.87	2.18	2.41	0	2.47	0.27	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	1.24	0.62	6.98	0	0	0	0.31	0	0.47	0.14	0	0	0	0	0.03	0.83	0	0
9847	0	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0	0	1.43	2.19	1.85	2.14	0.2	1.26	1.5	2.55	1.98	1.74	2.26	0.07	0	0	1.02	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0
913199	0	0	0	0	0	0	0	0	0	0	0.08	0	0.27	0	0	0	0	4.16	5.04	0.49	0.27	0.49	0.28	0.07	0.24	0.42	0.33	0.21	0.27	0.38	0.03	0	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0.02	0	3.08	6.86	5.97	3.9	0.8	1.93	3.22	2.38	1.1	0	6.28	0.15	0.49	4.44	0
4295230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.91	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	2.33	4.86	5.92	6.29	2.17	4.46	6.52	4.88	0.43	0	7.47	0.96	0.27	3.63	0
997803	0	0.9	0	1.46	0	0	0.95	6.48	0	0	0	3.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.07	0	0	0	0	7.8	10.46	0	2.27	2.25	0	1.71	0.23	2.02	0	0	10.64	0	3.21	0	0	0	0	0	0	5.64	0.09	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0
933546	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.41	0	0	0.67	1.02	1.31	1.72	0.07	0.91	0.53	1.51	1.8	0.79	0.87	0.03	0	0.01	0.47	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	3.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
912078	0	0	0	0	0	0	0	0	0.88	3.82	3.75	0	0	0.53	1.61	4.72	1.18	0	0	2.26	0.77	0.58	0.38	0.25	1.42	0.74	0.32	0.33	0.55	0.66	0	0.02	4.16	0.18	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.01	0.07	6.73	0	0	0	0.73	0.38	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0.08	0.01
1062031	0	0	0	0	0	0	0	0	1.06	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0	0	0.14	0.2	0	0	0	0	1.82	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0.17	0	0	0.76	0	0	0	0	0	0
908294	2.46	2.59	0	3.69	0	0	3.18	0.36	0	0	0.36	1.22	0	0.06	0	0	0	0	0	0	0	0	0	0.02	0	0.22	0	0	0	0	0	0	0	0	0	0	0.32	0.99	4.75	1.48	1.43	3.82	0.03	1.59	0.29	0.81	0	0.24	0.45	0	0.35	0	3.65	1.39	0.26	0	0	5.5	0.36	0	0.45	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0
4308270	0.3	0.36	0.76	0	0	1.16	0.17	0.4	0	0	0	2.23	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.13	0	0	0	0.23	0.36	0.66	0	0	3	0.19	0	1.84	0	0	1.76	0	0	2.13	1.89	0.95	5.36	3	0	0	0.81	1.08	0	0.52	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
4404225	3.97	0.57	1.64	0.35	4.48	0	0.55	0.22	0	0	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0.86	0.63	2.04	2.71	1.39	3.51	0.38	0.23	2.86	3.39	0.71	0.08	3.79	0.11	0	0.6	0.39	0.17	2.17	0.23	0.23	0	2.85	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
359310	0	0	0	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0	0.52	0.02	0	0	0	0	0.11	0.13	0	0	0	0	1.5	7.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0
986176	0	0	0	0	0	0	0.12	0.63	0.98	2.56	4.51	0	0	0.48	1.12	3.44	1.14	0.07	0	0.53	0.17	0.15	0.1	0.08	0.37	0.17	0.1	0.09	0.17	0.11	0.02	0	1.24	0.05	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0.05	4.82	0.01	0.01	0.01	0.58	0.08	0.06	0	0	0	0.01	0	0	0	0	0	0.04	0	0	0	0
1020481	0	0	0	0	0	0	0	0	1.14	4.36	1.68	0	0	0.21	1.09	1.4	3.88	0	0.81	0.03	0	0.42	0.3	0.29	1.7	0.06	0.04	0.07	0.72	0.05	0.03	0	0.68	0.42	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.01	0	0.41	0.89	0	0	5.39	0.15	1.46	0.1	0.32	0	0.17	0.22	0.99	0.16	0	0	0	0	0.06	0	0.22	0
203232	0	0	0	0	0	0	0	0	0	0	0	0	2.03	0	0	0	0	0	0	0.78	0.99	1.94	1.81	0.18	1.52	1.23	2.17	1.6	1.63	2.25	0	0	0	0.98	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1975450	0	0	0	0	0	0	0.51	0	0	0	0.59	0	0	3.08	5.41	0	0	0	0	0.14	1.04	0.04	0	3.44	0.06	0	0.13	0.12	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.05	0	0.98	0.08	0	0	0	0	0	0	0	0	0	0	0.02	5.44	0.11	0
4401373	0.91	0	4.62	0	1.28	1.94	0	0.13	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.07	0	0	1.2	4.7	0.57	0	0.04	1.03	0.22	1.08	0	0.71	1.43	1.38	1.61	0	0	0.18	0.81	0.49	2.59	0.43	0.29	0	0.54	0.04	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78
4395904	1.84	0	0	0	1.14	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.1	0	0	0	0	0	0	0	0	0.05	0	0	0.56	1.81	0	0	0	2.3	0	2.62	0	2.5	1.48	0.46	0	0	0	0.2	0	0.34	1.73	0.9	13.59	0	1.79	0.09	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47
1010920	0	2.88	0	0.89	0	0	2.71	1.39	0	0	0	2.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	1.89	2.88	2.21	0.61	3.8	0	3.98	0	2.02	0	0	0.73	0	0.67	0	2.19	0.58	1.22	0	0	3.09	0.8	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
461329	0	0	0	0	0	0	0	0	2.38	1.78	0.52	0	0	0	2.04	2.84	2.58	0	1.01	0.39	0.07	0.14	0.99	0.15	1.41	0.72	2.49	0.36	0.01	0	0	0	2.01	0.47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.09	0.9	1.18	0	0	0.03	0.31	2.99	0	0.19	0	0	0	0	0.09	0.07	12.69	0	0.15	0	0.11	0.54	0
939959	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	3.56	3.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0	0	3.24	0	0	0	0	0	0
465447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84	0	0.28	0	0	0.09	0.77	2.02	0.23	0.52	0	0	0	3.1	0.26	0	0.42	0	0.3	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.65	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0.01
526600	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	1.34	1.73	1.57	0.19	1.3	0.9	1.49	1.26	0.72	2.05	0.07	0	0	0.44	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
752584	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	1.61	1.05	1.21	1.3	0.1	1.1	0.94	1.47	0.61	0.93	1.27	0.1	0	0	0.69	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
937834	0.21	4.72	0	5.91	0.18	0	1.81	0.92	0	0	0	2.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.1	0.64	7.98	6.59	0.41	1.23	0	5.11	0.09	0.96	0	0	0.29	0.03	2.33	0	0.03	0.48	2.93	0	0	0.9	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
