featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	-1.82282861395471	-2.00660883707493	-1.42240345281286	0.625078636801934	4.20736431414333	0.118693198637701	0.438802092111179	0.499026862200289	0.651381267056162	0.478967309914113	0.634986027717127
k__Bacteria;p__Cyanobacteria;c__;o__;f__	-1.93039577606406	-2.1135944737182	-1.52819977962061	0.521210124761708	4.5473519069803	0.0955810353927246	0.453836157406492	0.437380731697499	0.595775467104258	0.44053034116368	0.596810918500093
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	1.02183273817864	-0.467451490619859	6.09709120886722	5.30380649167253	7.72889371314851	0.650215977776793	0.263020876515122	0.045182736113698	0.126582797082051	0.0326188966774498	0.111161628983497
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae	-1.75813934269948	-1.92588472117272	-1.40521828157679	0.403043408602863	4.41739164495882	0.0739079681750521	0.462239588698916	0.49405566434261	0.654384549511606	0.52164636925298	0.679518760601479
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	-1.91011859313543	-2.03730188258176	-1.50207170045236	0.518526143915556	4.1694692797905	0.096357044605809	0.441406258393687	0.424497914589044	0.585541050304358	0.432454604150258	0.588341444292959
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	-1.84225852958475	-1.95648567231636	-1.51723456000242	0.154412050287471	4.27506578741035	0.0261420957071887	0.479843956030925	0.475137084449104	0.633058249365403	0.486659615216669	0.649569618618473
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	-0.339806988557328	-0.658783017540804	0.56394179130813	1.32636411576326	8.54830251396225	0.152628668919544	0.437500008970476	0.638033584140266	0.790907633886295	0.608484284852797	0.763331049369401
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	-1.44096672401798	-1.79767698013709	-0.493585457264678	1.62237289410136	5.38616490881632	0.290693178455063	0.358072938476086	0.329779337159593	0.506372785418262	0.283092994461763	0.444664107919086
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	-1.78767342502207	-1.93764449910806	-1.51610504783841	0.112194343602914	4.83398177695655	0.0253075618312495	0.488281251656594	0.537617433043114	0.702431556943359	0.531229565740413	0.690542248048329
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	5.90861205385519	5.38683702364446	6.54765216015532	1.16821876006094	8.63041575553941	0.133538192615913	0.425781260722246	0.488518977946755	0.680381335546392	0.392119775095116	0.604941577901318
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	6.84470235711502	5.30906385762717	11.259382082837	7.306151761969	6.9277944480021	1.01990106014842	0.120936406498626	1.27217185253672e-05	0.000646186714142902	4.29807038435649e-05	0.000885174922824916
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae]	-1.83326181491464	-1.98676342332365	-1.46101433769406	0.536454289156424	4.33659337974132	0.10449232426298	0.44733420776489	0.43991136045545	0.611797873271976	0.472363242237783	0.64008907517844
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__	-1.92909884721224	-2.15822491191969	-1.40235981295801	0.661083207370224	4.49406298193394	0.130903325291394	0.443433037983615	0.449440055461436	0.6112829961938	0.464901883791917	0.622595722902561
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	5.87665463428472	6.4649219542852	2.11400520652242	-3.63092296641773	5.77021873419021	-0.540599902748153	0.326822944469212	0.0555837343481944	0.170800010154082	0.0666207540407126	0.201480905685837
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	-1.52841244223623	-1.79237175210091	-0.921077629143624	1.09331085406344	4.82125826557028	0.206127246882595	0.398437514966783	0.419023981077334	0.583040732329177	0.390086533607769	0.561901967322083
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	3.8880005871869	3.46311685150816	5.17504866466906	2.30002099666469	8.04825304929815	0.263521212948236	0.365409643334653	0.241176228487828	0.446271519293794	0.230001667746379	0.445772609724545
